Countries,Religion,TermName,NorwegianDefinition,Context,ConceptTranslation,,Feeling,Date,Comment
1,Islam,Ansatt ,,Ansatt I Statoil ,"Alle som jobber sammen er like viktige. Du skal være med å tenke, ikke bare for deg selv, men også tenke på de andre. Selv om du ikke er sjef er du som ansatt som en hjørnestein i et hus som støtter hele huset. Du er som et hode som skal tenke selv, men hodet alene utgjør ingen kropp. 

Når du er ansatt i en bedrift skal bedriften tjene penger på det du gjør. Du får din lønn for det du gjør. Dette kan sammenlignes med en bonde høster av det arbeidet som er blitt gjort på markene. 
",,Trygghet;Krav ,2003,
1,Islam,Ansatt ,,Ansatte som jobber med NAV-kurs ,"De som tar imot deg på SMI er ikke lærere som i vårt hjemland. De skal fungere mer som trofaste venner eller familiemedlemmer så lenge du er på smi. Det er viktig at du stole på dem som du stole på familien i hjemlandet. Selv om noen er unge, kan de sammenlignes med kloke, eldre mennesker i familien. De har store kunnskaper om det norske samfunnet og hvordan man kan hjelpe mennesker i dette landet. De kan for eksempel fortelle om hvordan arbeidslivet fungerer i Norge. Alle som jobber på smi har taushetsplikt.",,Trygghet;Krav ,2008,
1,Islam,Lovlig fravær,Fravær som er i samsvar med loven,Det er et problem at lovene knyttet til fravær blir tolket på feil måte. Dette gjøre at mange er borte fra jobben på et feil grunnlag. ,"På samme måte som en kvinne som nettopp har født ikke kan gå i moskeen, men har lovlig fravær, må du ha lovlig fravær for ikke å være på jobb. Hva som er lovlig fravær står skrevet i reglene for din arbeidsplass",,Rettighet,2008,
1,Islam,Konsekvenser,Resultat av handlinger,Vise til resultatet av de ulike beslutningene som foreldrene tar,"På samme måte som du må svare for det du spiser, må du svare for de beslutningene du tar. Det som du sår må du høste.                På samme måten som du til slutt kan sitte under skyggen av det treet du en gang plantet, kan du nyte resultatet av riktige beslutninger.                                                                                         Ikke bank på døren med fingeren, da vil andre slå med hånden (brukt for å lære noen om hva som kan gi negative konsekvenser)                                        Du har kanskje hørt ordtaket: Ikke kast stein på huset til naboen din, kanskje steinen kommer tilbake en dag. Dette sier noe om hva konsekvensene kan bli av handlinger. ",,Ansvarliggjøring ,2008,
1,Islam,Oppfølging,Sørge for at noe som er avtalt skjer til avtalt tid.,Noen tar ansvar for at ting skjer,"På samme måte som en religiøs person må passe på og be på riktig tidspunkt og faste til riktig tid, må noen passe på at avtalte ting skjer til rett tid og på rett måte. Det kalles oppfølging.",,Trygghet,2008,
1,Islam,Avtale ,Bli enige om (på forhånd),En skriftlig avtale har ikke samme tygde for alle mennesker – spesielt fra kulturer der muntlig tradisjoner står sterkt.  Dette gjelder spesielt for mennesker man ikke har et familiemessig eller følelsesmessig nært forhold til .," Norge er det viktig å holde avtaler – både skriftlige og muntlige.  På samme måte som en mann må stå for sitt ord i vårt hjemland, må man i Norge holde en avtale. Ta vare på avtalen som du tar vare på æren. Man kan sammenligne «haraam» i islam med å bryte en avtale i Norge. ",,Svært viktig – også muntlig ,2007,
1,Islam,Demokrati,En styreform som baserer seg på at folket bestemmer hva slags politikk som skal føres. Ordet betyr folkestyre,"For å kunne forstå mange andre begrep/ konsept i samfunnet, må en forsikre seg om at de skjønner det norske konseptet demokrati. ","Demokrati betyr folkestyre og målet er rettferdighet for alle. Ideelt kan man si at demokrati er å dele som Gud deler – altså der alle får bestemme og alt skal være rettferdig. I praksis er det ikke fullkomment og alle må gjøre sine plikter for at det skal fungere best mulig.                                                                                Demokrati i Norge, og i mange andre demokratiske land, kan ikke sammenlignes med det som er blitt kalt demokrati i andre deler av verden – for eksempel den russiske modellen fra 1979 eller Saddams regime.                                                                     Demokrati i Norge er heller ikke slik vi ser på tv med umoral og kriminalitet.                                                                            Afghanistan: Demokrati kan sammenlignes med folkets djerga, og folket velger de som skal dele ut. På samme måte som khaliffene ble valgt til å representere folket, representerer de folkevalgte i Norge folket. ",,Rettferdighet,2007,
1,Islam,Helse,Legemlig (og psykisk) sunnhet og kraft.,"Helse er mer enn fravær av sykdommer. Man kan ikke få piller for alt, men noe må en leve med.","En god helse er noe av det viktigste som finnes. Har du helse som en tiger eller er frisk som en løve, er det som en stor rikdom. Helse kan ikke kjøpes for penger, men er som beste hilsenen fra Allah, eller en gave fra Gud.",,Optimisme,2007,
1,Islam,Identitet,Refererer til aspekter ved en person (eller fenomen) som antas å være mer bestandig eller uforanderlig over tid.,Døve barn må utvikle en egen identitet som døv. Derfor må foreldrene legge til rette for at barna får kontakt med andre likesinnede for å kunne utvikle denne identiteten. ,Hvert barn skal utvikle sin egen identitet. På samme måte som at alle fingre ikke er like har hvert barn som egen identitet.           Hver enkelt må  finne sin identitet og hvem en hører sammen med. I vårt hjemland sier vi at fuglen flyr med fugler og ørnen flyr med ørner og på samme måte må kanskje døve barn få være sammen med andre døve barn. På den måten speiler det døve seg i andre døve barn og kan se seg selv gjennom dem. ,,Trygghet  ,2008,
1,Islam,Arbeidsevne,"Egenskap til å greie noe, kraft, (økonomisk) kapasitet",Kartlegging av arbeidsevne i forbindelse med kontakt med hjelpe-    apparatet. ,"Nedsatt arbeideven betyr at kroppen ikke klarer å jobbe 100%. Dette er ikke skam i Norge. Det som er skam er om du egentlig klarer å jobbe 100%, men har lyst på mer fri.            

På NAV kan de hjelpe deg med å finne ut hvor stor din arbeidsevne er når du ikke lenger kan jobbe som en unghest. Du må likevel alltid jobbe som en bie enten du klarer å jobbe mye eller lite.",,Godta,2007,
1,Islam,Lov,Rettsregel som er vedtatt av myndighetene i samsvar med grunnlov og sedvanerett; rettsreglene som gjelder i et land,"Lov om skolegang, tegnspråkopplæring opplæringspenger etc.","På samme måte som Sharia i islam, inneholder lovverket alle lovene i Norge.                                                                                   På samme måten som vi sier at loven er blind og loven kjenner ingen, er det når offentlige ansatte bestemmer noe fordi de har lovhjemmel. ",,Ufravikelig ,2007,
1,Islam,Utvikling,Vokse; en prosess der individet er i stadig endring. Samhandling som påvirker forholdet mellom mennesker,Sosial utvikling,"På samme måte som ingen ting utvikler seg alene, men trenger lys, vann og mat, trenger alle barn andre mennesker for å utvikle seg. Barn som har mye kontakt med andre barn og voksne kan sammenlignes med månen som vokser og du kan se forandring fra dag til dag.",,Positiv,2007,
1,Islam,Evaluering,"Verdsette, vurdere – for 
eksempel vurdere prestasjoner og kunnskaper hos (skoleelev), gi karakterer el. skussmål
",Ved f.eks. kursslutt oppfordres foreldrene til å si hva om er godt eller dårlig - for at kurset skal bli bedre. ,"Ved å vurdere i ettertid det man har gjort, kan man lære å bli bedre. På samme måte som man ser tilbake på de årene som man har levd og kan lære av dem, kan man se på det man selv eller andre har gjort og lære av både det gode og det dårlige. ",,Visdom ,2007,
